"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-22,"Average",0.0360808872504238,0.101444318648069,-0.173529780563777,0.234904044235817,"lnPROPERTY","D_REC"
-21,"Average",0.00116992317164444,0.0620342579752007,-0.117817959437976,0.129294305534593,"lnPROPERTY","D_REC"
-20,"Average",0.00584848826879885,0.0513772321421377,-0.0939577264803458,0.104764651572316,"lnPROPERTY","D_REC"
-19,"Average",0.0025261608461566,0.048239861741301,-0.0900453073398742,0.0957441828993525,"lnPROPERTY","D_REC"
-18,"Average",-0.0086271996167622,0.0454088984782744,-0.0908753622738855,0.0864538025976826,"lnPROPERTY","D_REC"
-17,"Average",-0.0318057097060573,0.0444481254916349,-0.118736096048254,0.0586022376224169,"lnPROPERTY","D_REC"
-16,"Average",-0.0284460809707287,0.0324645933138133,-0.0964857945310636,0.0330560605997672,"lnPROPERTY","D_REC"
-15,"Average",-0.00314074261204692,0.0241960264059723,-0.0521869835431663,0.0462099793328627,"lnPROPERTY","D_REC"
-14,"Average",0.000930051278015043,0.0302236819894436,-0.0623839061543317,0.0565664215285508,"lnPROPERTY","D_REC"
-13,"Average",0.00874580620685718,0.0356592588942183,-0.062182048943032,0.078386627763696,"lnPROPERTY","D_REC"
-12,"Average",0.0311806837518951,0.0423081016618552,-0.0540528665074057,0.114746052034676,"lnPROPERTY","D_REC"
-11,"Average",0.029753992705072,0.0381377042761153,-0.0463797877511143,0.103564743486144,"lnPROPERTY","D_REC"
-10,"Average",0.0166322084278451,0.0282890934856888,-0.0370596625912711,0.073325710317688,"lnPROPERTY","D_REC"
-9,"Average",0.0218402871385958,0.0346984268550768,-0.0445738539843635,0.0935910301492422,"lnPROPERTY","D_REC"
-8,"Average",0.0117677341594734,0.0438069122056446,-0.0751405762505178,0.0992038415284236,"lnPROPERTY","D_REC"
-7,"Average",-0.0273136062532684,0.0498761667741877,-0.125614360542967,0.0688643452219865,"lnPROPERTY","D_REC"
-6,"Average",-0.0471914772668983,0.0614602563407454,-0.166718735713235,0.0709572021531928,"lnPROPERTY","D_REC"
-5,"Average",-0.0316998105679897,0.0472286145210178,-0.126967067471247,0.0577748061011439,"lnPROPERTY","D_REC"
-4,"Average",-0.00441126999419225,0.0465730068716066,-0.096947048201399,0.0804181146018295,"lnPROPERTY","D_REC"
-3,"Average",0.0117081035077385,0.0496678475016816,-0.091884327261147,0.101327563354965,"lnPROPERTY","D_REC"
-2,"Average",0.0186185544290079,0.0553142662634456,-0.09850255328995,0.119215725291873,"lnPROPERTY","D_REC"
-1,"Average",0.00934481823878462,0.046097611784239,-0.0864234568962978,0.0967331609175762,"lnPROPERTY","D_REC"
0,"Average",0.0410493417228287,0.0633596734551724,-0.085945026480093,0.164524089514742,"lnPROPERTY","D_REC"
1,"Average",0.0743671103947957,0.0921461224651305,-0.105266984323465,0.264738381066227,"lnPROPERTY","D_REC"
2,"Average",0.103083555168363,0.1174732316355,-0.129010324770491,0.338459644671551,"lnPROPERTY","D_REC"
NA,"Average",0.0728333357619958,0.0889255159497981,-0.103244814212647,0.250705790132555,"lnPROPERTY","D_REC"
-22,"ALASKA",NA,NA,NA,NA,"lnPROPERTY","D_REC"
-21,"ALASKA",NA,NA,NA,NA,"lnPROPERTY","D_REC"
-20,"ALASKA",0.067753944044254,0.139573411137869,-0.211509885467796,0.320509999260414,"lnPROPERTY","D_REC"
-19,"ALASKA",0.0635718391308071,0.0990277022276368,-0.142196756082907,0.249400504089601,"lnPROPERTY","D_REC"
-18,"ALASKA",0.0822424011222829,0.108779227574426,-0.138988750549288,0.281353063065818,"lnPROPERTY","D_REC"
-17,"ALASKA",0.0240313634310603,0.0358632910373378,-0.049312352239835,0.0916953519557987,"lnPROPERTY","D_REC"
-16,"ALASKA",-0.0021110264478903,0.0307707935948051,-0.0619454080022695,0.0587711146517079,"lnPROPERTY","D_REC"
